ZIP,state_name,lat_avg,lng_avg,count_qualified,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_total,kw_total,yearly_sunlight_kwh_total,carbon_offset_metric_tons,existing_installs_count
21104,Maryland,39.34875569,-76.91441213,6,66.66666667,0,24,76,72,68,240,60,68523.0094,43.54367483,0
21108,Maryland,39.10051583,-76.61727023,4117,69.76783596,10510,72367,41675,42347,118106,285005,71251.25,8.56E+07,54381.75383,5
21113,Maryland,39.0769834,-76.70724266,5578,87.061027,10185,90050,74146,71569,206894,452844,113211,1.38E+08,87695.89187,2
21117,Maryland,39.42187695,-76.78470118,9084,79.53769372,25517,156355,100247,103542,378215,763876,190969,2.29E+08,145534.3042,5
21122,Maryland,39.12774533,-76.51473839,15280,69.54622002,36369,211999,149926,148978,195033,742305,185576.25,2.21E+08,140585.5735,28
21128,Maryland,39.40407765,-76.44661212,3896,88.5052249,6310,67567,42974,41769,21638,180258,45064.5,5.47E+07,34741.85012,40
21133,Maryland,39.37560427,-76.80059749,7658,82.9775707,27616,108468,90419,82790,110898,420191,105047.75,1.25E+08,79232.82719,0
21136,Maryland,39.46780558,-76.81194284,1188,76.10506086,1953,20257,13114,13947,14971,64242,16060.5,1.89E+07,11980.72642,0
21144,Maryland,39.12517643,-76.68983326,8106,82.11102107,23095,133502,89875,87458,122729,456659,114164.75,1.37E+08,86871.13094,23
21146,Maryland,39.08082359,-76.55742973,4688,49.10443071,6162,71841,39488,41959,98731,258181,64545.25,7.64E+07,48542.53538,19
21153,Maryland,39.4128831,-76.70584131,135,67.5,998,6023,3166,3440,3516,17143,4285.75,5088104.818,3233.290301,1
21156,Maryland,39.43900743,-76.39757362,23,63.88888889,5,314,336,95,343,1093,273.25,319996.7939,203.3453648,0
21162,Maryland,39.39164663,-76.41480723,1521,80.81827843,4604,26354,14942,13225,56424,115549,28887.25,3.50E+07,22236.03236,15
21163,Maryland,39.32834347,-76.86615886,690,74.19354839,1604,13705,8384,8400,1580,33673,8418.25,9966989.593,6333.629502,0
21201,Maryland,39.29396439,-76.62402743,2439,85.041841,7260,24631,16426,17433,235132,300882,75220.5,8.99E+07,57146.52592,2
21202,Maryland,39.30033474,-76.60629841,3646,90.33696729,3820,18700,18456,21076,292745,354797,88699.25,1.06E+08,67660.98106,2
21204,Maryland,39.40487144,-76.62820578,4048,84.47412354,9102,74883,46921,45009,212545,388460,97115,1.16E+08,73683.95276,14
21205,Maryland,39.30079659,-76.5758805,5820,93.44894027,4332,16226,12838,13957,270961,318314,79578.5,9.74E+07,61908.25886,1
21206,Maryland,39.33927175,-76.54044829,12269,77.06174235,20348,103817,81099,76822,156293,438379,109594.75,1.32E+08,83794.82288,25
21207,Maryland,39.3247276,-76.71983631,11044,78.06050325,30215,120969,96299,90093,264852,602428,150607,1.81E+08,114733.176,37
21208,Maryland,39.37659353,-76.73077018,8208,82.33523924,31753,138108,88006,98026,268155,624048,156012,1.86E+08,118138.1266,34
21209,Maryland,39.37306191,-76.67261793,5715,91.22106943,23499,94197,58094,60956,166702,403448,100862,1.22E+08,77237.33745,26
21210,Maryland,39.3551893,-76.63400654,2289,77.40953669,6717,50828,28610,31355,68491,186001,46500.25,5.56E+07,35305.62803,6
21211,Maryland,39.33083971,-76.6333377,6202,89.62427746,3415,21318,15762,16927,252965,310387,77596.75,9.52E+07,60494.15505,1
21212,Maryland,39.36382941,-76.60967365,8129,73.45924453,5389,85675,40707,39786,105519,277076,69269,8.32E+07,52878.84781,12
21213,Maryland,39.31366241,-76.57935165,13060,90.71964435,5111,22871,17897,16488,442937,505304,126326,1.56E+08,98881.6085,1
21214,Maryland,39.35179749,-76.56383444,6055,80.21992581,8890,53547,38988,28732,65906,196063,49015.75,5.90E+07,37477.88749,22
21215,Maryland,39.34412517,-76.67881697,16311,88.76734694,25317,101811,59821,62223,592067,841239,210309.75,2.57E+08,163577.3941,7
21216,Maryland,39.30845204,-76.66819619,10459,91.22546882,3110,28851,21383,23305,311374,388023,97005.75,1.19E+08,75343.51829,3
21217,Maryland,39.30688013,-76.64041601,11711,90.74074074,4207,18186,16728,20683,383165,442969,110742.25,1.36E+08,86435.0669,2
21218,Maryland,39.32709449,-76.60313164,13591,87.30087359,4503,49673,30068,28163,488407,600814,150203.5,1.83E+08,116544.582,5
21219,Maryland,39.23267986,-76.44609785,3407,88.24138824,19031,58646,40808,39240,194049,351774,87943.5,1.07E+08,68138.29733,27
21220,Maryland,39.3393703,-76.41288325,6438,83.33980583,23246,77099,54983,58838,216585,430751,107687.75,1.32E+08,83597.07848,24
21221,Maryland,39.30738603,-76.45196137,11332,84.33430081,30007,144014,106143,102150,267773,650087,162521.75,1.97E+08,124884.8063,55
21222,Maryland,39.26524933,-76.50213514,15882,77.51476402,38645,143862,119043,117566,408307,827423,206855.75,2.51E+08,159674.8838,55
21223,Maryland,39.2865757,-76.64808285,10736,84.51546879,4886,14473,9230,9173,473493,511255,127813.75,1.57E+08,99832.13555,1
21224,Maryland,39.28771145,-76.55790227,16420,77.05664273,19999,61750,32585,34925,1028119,1177378,294344.5,3.62E+08,229986.3368,11
21225,Maryland,39.22951101,-76.61262971,9168,84.46655611,11527,70502,53727,59835,239393,434984,108746,1.32E+08,83678.18433,14
21226,Maryland,39.19660368,-76.55702945,3349,83.12236287,12721,39291,21433,25154,505351,603950,150987.5,1.86E+08,117978.4262,4
21227,Maryland,39.24275654,-76.67581059,10540,88.6981402,17028,100656,73490,72675,612216,876065,219016.25,2.68E+08,170319.8773,27
21228,Maryland,39.27803221,-76.74288812,13184,82.28685557,30511,168877,141653,141116,238401,720558,180139.5,2.15E+08,136768.7749,53
21229,Maryland,39.28508602,-76.68888299,12459,80.7348367,11477,66505,47568,47320,282957,455827,113956.75,1.38E+08,87826.68399,2
21230,Maryland,39.27110719,-76.62321109,11451,78.62537764,16277,60447,30163,39240,832541,978668,244667,3.00E+08,190677.6729,8
21231,Maryland,39.28856734,-76.58970945,4241,74.46883231,3314,16150,11139,14036,153269,197908,49477,6.01E+07,38165.30391,0
21233,Maryland,39.29300937,-76.60499363,3,100,0,44,0,39,15604,15687,3921.75,4672345.438,2969.091583,0
21234,Maryland,39.38825293,-76.53802178,19390,84.95443393,46144,233757,164274,137246,208287,789708,197427,2.37E+08,150360.2986,61
21236,Maryland,39.39097635,-76.486957,11346,90.83340005,35801,144842,118084,106893,198594,604214,151053.5,1.82E+08,115536.4308,84
21237,Maryland,39.33950302,-76.49618926,8590,87.00496303,30287,115047,88183,86564,452979,773060,193265,2.36E+08,149936.394,58
21239,Maryland,39.36185239,-76.58873388,6831,81.19576845,7019,83700,42812,38757,53191,225479,56369.75,6.87E+07,43650.69681,6
21240,Maryland,39.17947631,-76.67271733,82,92.13483146,645,992,976,1655,76822,81090,20272.5,2.49E+07,15807.46055,0
21244,Maryland,39.33572992,-76.76628566,8205,87.650892,34288,110546,96671,83856,298950,624311,156077.75,1.89E+08,120287.6487,13
21250,Maryland,39.25663152,-76.71158094,49,100,810,1271,1710,1592,24145,29528,7382,8864338.765,5632.93831,0
21251,Maryland,39.34601566,-76.58284386,12,92.30769231,77,419,242,466,6519,7723,1930.75,2349483.611,1493.004339,0
21252,Maryland,39.39382528,-76.60781718,30,96.77419355,34,973,962,907,22469,25345,6336.25,7577573.482,4815.24963,0
21278,Maryland,39.2956932,-76.6121176,1,100,0,0,0,0,3988,3988,997,1198525.838,761.6159856,0
21286,Maryland,39.40170086,-76.58078531,4425,75.2039429,11696,76454,44390,40186,201963,374689,93672.25,1.12E+08,71379.68714,28
21287,Maryland,39.29625408,-76.59334419,10,90.90909091,0,549,293,234,9789,10865,2716.25,3097945.238,1968.622238,0
21502,Maryland,39.64166936,-78.7804834,12652,82.36979167,41894,139888,127124,113095,392862,814863,203715.75,2.34E+08,193737.6548,0
21529,Maryland,39.71873859,-78.77660965,215,68.03797468,518,2925,1975,2346,797,8561,2140.25,2400779.263,1987.494619,0
21532,Maryland,39.6510141,-78.93090585,0,0,0,0,0,0,0,,,,0,0
21545,Maryland,39.69829003,-78.87797657,42,71.18644068,190,550,412,399,57,1608,402,460060.0151,380.8625051,0
21560,Maryland,39.56510496,-78.71090298,2,40,0,12,50,40,0,102,25.5,28345.88228,23.46625088,0
21713,Maryland,39.51355208,-77.65281252,21,67.74193548,66,334,183,388,302,1273,318.25,376383.7913,311.5908119,0
21722,Maryland,39.66512284,-77.91081509,1,100,0,0,0,240,343,583,145.75,174982.8793,144.8602695,0
21733,Maryland,39.54372115,-77.74486758,3,75,66,227,357,544,119,1313,328.25,382196.6721,316.4030284,0
