2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
6225WPRRST1739N,110044852068,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,7692997.3
28704SHVLL200CP,110000587071,MANGANESE COMPOUNDS,YES,NO,2,7814,30616
35186LBMPWHWY25,110000589097,AMMONIA,NO,NO,2600,22,2622
61554NCRNC13082,110000438027,LEAD COMPOUNDS,YES,NO,0.4,30.4,108.5
6225WPRRST1739N,110044852068,MERCURY,YES,NO,0,0.1,1101.1
33041CTYLC6900F,110000363598,"1,2,4-TRIMETHYLBENZENE",NO,NO,16,0,16
63869NWMDRSTJUD,110000606336,COPPER COMPOUNDS,NO,NO,0,4,41805
48901LNSNG601IS,110000408531,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.24
33460TMGSM117CO,110000364098,AMMONIA,NO,NO,0,0,10.25
17370BRNNRWAGOR,110000601778,ZINC COMPOUNDS,NO,NO,0,84,2349
63129MRMCP8200F,110001958515,BARIUM COMPOUNDS,NO,NO,0,3,362833
40310KNTCKCURDS,110000872397,MERCURY COMPOUNDS,YES,NO,0,0.1,169.1
75846LMSTNFM39A,110000608245,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0,525
32234JBRND1MINU,110009104021,NAPHTHALENE,YES,YES,0,0,0
54632DRYLNS4651,110000422597,AMMONIA,NO,NO,12,0,14012.01
54474WYRHS200GR,110000422141,METHANOL,YES,NO,0,0,2428
82942JMBRD9MILE,110007899970,NICKEL COMPOUNDS,YES,YES,4,0,21106
54632DRYLNS4651,110000422597,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,20000
06457KLNNR1349R,110038324382,AMMONIA,NO,NO,0,0,13420
80723PBLCS14940,110000600234,HYDROGEN FLUORIDE,YES,NO,0,0,3600
47928PSCYG3300N,110000404349,ZINC COMPOUNDS,NO,NO,1,0,252221
52501TTMWG20775,110000415202,AMMONIA,NO,NO,7,0,8156
82942JMBRD9MILE,110007899970,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,7,0,37218
66536JFFRY25905,110006011680,MANGANESE COMPOUNDS,YES,NO,212,0,97420
74951SSHDY3MILE,110056955460,NICKEL COMPOUNDS,YES,YES,0,0,7
45202CGMMF10800,110000823379,NAPHTHALENE,YES,YES,0,0,18
54303PLLMP1530N,110000421534,HYDROGEN FLUORIDE,YES,NO,0,0,16029
45202CGMMF10800,110000823379,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.1
63055LBDPWNO10L,110000440470,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,0,0,20682
66536JFFRY25905,110006011680,VANADIUM COMPOUNDS,NO,NO,20,0,74532
40006LSVLL487CO,110000377814,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,574740
7759WBLNCH2415T,110028042188,NAPHTHALENE,YES,YES,0,0,18
98531CNTRL913BI,110000490665,LEAD  and LEAD COMPOUNDS,YES,NO,1,1.66,206.8
27343RXBRS1700D,110000346386,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,13,360
33702FLRDPWEEDO,110000588846,FORMALDEHYDE,YES,YES,0,0,39000
98531CNTRL913BI,110000490665,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,2992
58571LLNDL3901H,110000595099,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,1448
27343RXBRS1700D,110000346386,BARIUM COMPOUNDS,NO,NO,7,6200,306877
29440WNYHG661ST,110000353457,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,120000
1094WVLLYN333US,110070557956,NAPHTHALENE,YES,YES,0,0,179349
